time,omega
4,1.7027683
4.01,-3.5670487
4.02,-0.18810065
4.03,-2.1697042
4.04,1.9119816
4.05,-0.064652482
4.06,-0.47915513
4.07,3.2464307
4.08,2.7963943
4.09,0.92801591
4.1,1.1803113
4.11,-1.0858915
4.12,3.1210395
4.13,3.333382
4.14,-3.0251992
4.15,3.3123048
4.16,1.4707458
4.17,2.0157931
4.18,3.5294429
4.19,0.43038039
4.2,2.3397115
4.21,1.6692865
4.22,-1.2786536
4.23,0.067525819
4.24,3.2329016
4.25,-4.5042314
4.26,2.3601897
4.27,2.53375
4.28,-3.1549111
4.29,0.81422307
4.3,-1.5521618
4.31,0.82307841
4.32,-4.6683226
4.33,-4.0211696
4.34,-1.3904853
4.35,-3.4678956
4.36,2.5097245
4.37,-0.33858506
4.38,-0.31978619
4.39,-0.085469648
4.4,0.53361044
4.41,0.45908076
4.42,0.75129497
4.43,1.162301
4.44,-2.5024474
4.45,-3.1308499
4.46,-0.096423833
4.47,3.1267779
4.48,-4.7843736
4.49,0.15802931
4.5,-2.1653018
4.51,-0.33453068
4.52,-2.329129
4.53,4.2555556
4.54,0.79031831
4.55,2.6374783
4.56,1.392658
4.57,1.6244309
4.58,-0.91068215
4.59,-1.4338213
4.6,2.8956617
4.61,0.29462445
4.62,3.4190932
4.63,1.0012221
4.64,0.27077931
4.65,3.0348015
4.66,0.38917476
4.67,0.044328237
4.68,-1.805143
4.69,0.59668018
4.7,-2.6980773
4.71,-2.4478492
4.72,-0.42294775
4.73,0.47843682
4.74,-0.36758896
4.75,-1.009431
4.76,-4.3758109
4.77,-3.7844684
4.78,-3.8306565
4.79,-1.019067
4.8,-2.285948
4.81,1.566222
4.82,4.7701387
4.83,0.015163915
4.84,-1.4801138
4.85,1.2849105
4.86,1.5800908
4.87,0.3303007
4.88,-3.3976677
4.89,2.8565061
4.9,3.4111883
4.91,4.9571089
4.92,1.479058
4.93,0.4430912
4.94,3.8922409
4.95,0.13173312
4.96,1.8526656
4.97,2.081486
4.98,1.0482022
4.99,2.4540126
5,2.2867407
5.01,2.7597976
5.02,1.4108159
5.03,0.49869218
5.04,2.912701
5.05,3.8746395
5.06,0.9059602
5.07,2.1634119
5.08,-0.68609247
5.09,2.1440172
5.1,2.873946
5.11,2.0961174
5.12,0.49165624
5.13,2.0308942
5.14,-0.50182532
5.15,1.5718732
5.16,0.88033676
5.17,-1.6367862
5.18,0.20246547
5.19,0.39794612
5.2,-2.8140093
5.21,-0.93486828
5.22,-2.3991562
5.23,1.3845918
5.24,-1.6449478
5.25,1.2690551
5.26,3.4988229
5.27,2.2584664
5.28,-1.2638692
5.29,2.6092753
5.3,2.4020263
5.31,0.81920195
5.32,2.9387532
5.33,2.9101241
5.34,1.6476924
5.35,3.4096963
5.36,3.7002385
5.37,3.7667313
5.38,4.0730348
5.39,1.4359709
5.4,2.8134828
5.41,-1.5595434
5.42,2.3481961
5.43,1.9342136
5.44,-1.8214163
5.45,-4.3512426
5.46,-2.3436296
5.47,-2.1144596
5.48,1.51179
5.49,-1.686975
5.5,2.081644
5.51,-1.655997
5.52,-0.42024173
5.53,1.2296227
5.54,0.76451651
5.55,1.5628572
5.56,1.8824046
5.57,3.5159311
5.58,1.468539
5.59,4.5381217
5.6,4.2024678
5.61,2.6082917
5.62,3.671403
5.63,2.0166588
5.64,0.6949755
5.65,0.5152337
5.66,2.43841
5.67,2.6649197
5.68,3.7529606
5.69,2.590807
5.7,4.1045865
5.71,3.9954316
5.72,3.2256431
5.73,1.4819605
5.74,1.0930619
5.75,3.0823282
5.76,3.0899767
5.77,1.5148616
5.78,0.29071565
5.79,1.9697527
5.8,-0.67111677
5.81,1.633825
5.82,3.4885153
5.83,0.94970588
5.84,4.1852276
5.85,0.42543294
5.86,-0.12717035
5.87,-0.28898533
5.88,-0.19683263
5.89,0.17800283
5.9,-0.21675695
5.91,0.69956023
5.92,-2.7108083
5.93,-2.0061987
5.94,-0.49006681
5.95,2.7815479
5.96,3.0491056
5.97,2.7993209
5.98,1.9681053
5.99,2.6251529
6,0.16303947
6.01,3.2356928
6.02,3.6698359
6.03,1.1465732
6.04,3.6266011
6.05,2.9663544
6.06,4.2940133
6.07,4.0987451
6.08,4.3488053
6.09,3.2230661
6.1,3.8826004
6.11,2.2816954
6.12,2.6763356
6.13,1.3745646
6.14,0.26785385
6.15,1.6045313
6.16,-0.010348926
6.17,-0.87282476
6.18,0.78627562
6.19,0.32780989
6.2,2.4664114
6.21,3.4763279
6.22,1.610768
6.23,0.29518813
6.24,-1.2579233
6.25,2.2438141
6.26,-0.23207035
6.27,-0.26522932
6.28,-1.640771
6.29,0.71465146
6.3,1.3322932
6.31,0.95634646
6.32,2.2063926
6.33,1.1955747
6.34,2.5671071
6.35,-0.67029773
6.36,1.9783833
6.37,0.627127
6.38,2.1928563
6.39,2.6405577
6.4,3.0718563
6.41,3.7331748
6.42,3.8189685
6.43,4.5403768
6.44,3.9907267
6.45,4.2341053
6.46,2.183619
6.47,0.80357085
6.48,0.63313891
6.49,1.156848
6.5,1.3472446
6.51,0.24865844
6.52,-0.34583479
6.53,-2.0756895
6.54,-0.42913277
6.55,-0.50984486
6.56,0.10768362
6.57,3.5287995
6.58,2.1909549
6.59,1.1051384
6.6,0.93896753
6.61,0.14031171
6.62,0.69410921
6.63,-1.3139438
6.64,0.18370489
6.65,-0.093739225
6.66,1.0115205
6.67,2.2004327
6.68,2.7331461
6.69,2.4176392
6.7,0.057303125
6.71,-0.23259262
6.72,2.047342
6.73,-1.269833
6.74,0.21926597
6.75,3.7513081
6.76,2.7372177
6.77,1.697356
6.78,2.7152663
6.79,1.9122666
6.8,3.0325812
6.81,0.82400085
6.82,1.2391424
6.83,-0.23126836
6.84,-0.69855196
6.85,-0.9142229
6.86,-0.4676743
6.87,2.0711872
6.88,0.77395717
6.89,0.51299168
6.9,-0.83571844
6.91,1.4255437
6.92,-2.6955092
6.93,2.0695027
6.94,3.1315571
6.95,2.0441216
6.96,1.7850466
6.97,-2.8549341
6.98,-2.1173707
6.99,-0.00082468644
7,0.32230509
7.01,0.53382532
7.02,-3.0894836
7.03,-0.33885905
7.04,1.4617755
7.05,1.3020943
7.06,1.7791208
7.07,0.67901111
7.08,0.4729257
7.09,0.13020384
7.1,1.1066987
7.11,3.1091566
7.12,3.0893123
7.13,4.5700679
7.14,1.4587463
7.15,4.6492729
7.16,1.4370455
7.17,3.4136344
7.18,0.97238453
7.19,2.4839183
7.2,-1.3235095
7.21,0.1829455
7.22,-1.9431923
7.23,-0.93999618
7.24,-1.1159978
7.25,-3.014331
7.26,-0.97332204
7.27,0.18490563
7.28,-1.3546718
7.29,2.1539972
7.3,1.8933083
7.31,3.3932433
7.32,1.4420174
7.33,2.1856882
7.34,0.29703098
7.35,-0.55469449
7.36,3.0624424
7.37,1.5298985
7.38,0.89038225
7.39,0.80309533
7.4,-0.89635096
7.41,0.49189127
7.42,1.4414187
7.43,0.19750015
7.44,-0.51528595
7.45,1.4171255
7.46,1.9524005
7.47,2.9883064
7.48,4.1817899
7.49,2.9903026
7.5,2.0217577
7.51,2.5920713
7.52,2.9122107
7.53,1.4979541
7.54,0.98220954
7.55,2.5215885
7.56,-1.066858
7.57,-1.1305006
7.58,2.9391513
7.59,2.3619172
7.6,-0.54264891
7.61,2.111165
7.62,2.4376391
7.63,1.344531
7.64,2.2194824
7.65,0.78582255
7.66,1.4474638
7.67,0.031682281
