# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0               	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
4               	3.15719080e+00	1.57859540e+00	1.57859540e+00	1.80209282e-02	2.01216205e-01	-1.83195277e-01	1.92205741e-01	1.50792210e-16	-2.56008673e-17	-2.35731428e-16	-1.43466581e-16	-9.22648467e-17
4.01            	3.15846404e+00	1.57923202e+00	1.57923202e+00	1.24255212e-01	-5.27366878e-01	6.51622090e-01	-5.89494484e-01	1.48119258e-16	-2.30792154e-17	-2.37729106e-16	-1.41943768e-16	-9.57853377e-17
4.02            	3.14356513e+00	1.57178257e+00	1.57178257e+00	2.67852046e-01	-4.12451411e-02	3.09097188e-01	-1.75171164e-01	1.52092263e-16	-2.20471400e-17	-2.51772516e-16	-1.47933398e-16	-1.03839118e-16
4.03            	3.15196816e+00	1.57598408e+00	1.57598408e+00	3.96547109e-01	-2.37997437e-01	6.34544546e-01	-4.36270992e-01	1.54960471e-16	-2.05834028e-17	-2.63890499e-16	-1.52528652e-16	-1.11361847e-16
4.04            	3.14337688e+00	1.57168844e+00	1.57168844e+00	5.05096684e-01	3.18076280e-01	1.87020404e-01	6.55279377e-02	1.57534306e-16	-2.06502864e-17	-2.73853239e-16	-1.57576906e-16	-1.16276333e-16
4.05            	3.15959664e+00	1.57979832e+00	1.57979832e+00	5.88807524e-01	9.88054479e-02	4.90002076e-01	-1.95598314e-01	1.58888911e-16	-2.02655336e-17	-2.81396191e-16	-1.60963629e-16	-1.20432562e-16
4.06            	3.17226635e+00	1.58613318e+00	1.58613318e+00	6.44132520e-01	6.18623987e-02	5.82270121e-01	-2.60203861e-01	1.59644280e-16	-2.05429710e-17	-2.86185287e-16	-1.63635615e-16	-1.22549673e-16
4.07            	3.17034439e+00	1.58517220e+00	1.58517220e+00	6.68474695e-01	5.30256533e-01	1.38218161e-01	1.96019186e-01	1.60044151e-16	-2.16705109e-17	-2.87749298e-16	-1.65545160e-16	-1.22204138e-16
4.08            	3.18112020e+00	1.59056010e+00	1.59056010e+00	6.60210658e-01	4.55950697e-01	2.04259960e-01	1.25845368e-01	1.59494110e-16	-2.20177403e-17	-2.85564239e-16	-1.64799860e-16	-1.20764379e-16
4.09            	3.19337634e+00	1.59668817e+00	1.59668817e+00	6.19039223e-01	1.86016150e-01	4.33023073e-01	-1.23503462e-01	1.58232900e-16	-2.17998387e-17	-2.79242505e-16	-1.61421091e-16	-1.17821414e-16
4.1             	3.19396453e+00	1.59698226e+00	1.59698226e+00	5.45925971e-01	1.67208866e-01	3.78717104e-01	-1.05754119e-01	1.56534957e-16	-2.14612718e-17	-2.68625012e-16	-1.55773778e-16	-1.12851234e-16
4.11            	3.23773569e+00	1.61886785e+00	1.61886785e+00	5.40662946e-01	2.79452701e-01	2.61210245e-01	9.12122787e-03	1.65329076e-16	-1.86710198e-17	-2.76093394e-16	-1.56717717e-16	-1.19375677e-16
4.12            	3.21082834e+00	1.60541417e+00	1.60541417e+00	4.39676135e-01	8.30328036e-01	-3.90651901e-01	6.10489969e-01	1.67479417e-16	-1.54549120e-17	-2.60984801e-16	-1.45947313e-16	-1.15037489e-16
4.13            	3.19510733e+00	1.59755366e+00	1.59755366e+00	3.22421805e-01	8.41696698e-01	-5.19274893e-01	6.80485795e-01	1.69116817e-16	-1.14185312e-17	-2.43756073e-16	-1.33296568e-16	-1.10459505e-16
4.14            	3.20233514e+00	1.60116757e+00	1.60116757e+00	1.92806257e-01	-1.28013519e-02	2.05607609e-01	-1.09204480e-01	1.69639819e-16	-6.64698363e-18	-2.25194336e-16	-1.19244151e-16	-1.05950184e-16
4.15            	3.16727243e+00	1.58363622e+00	1.58363622e+00	5.50562946e-02	6.94536459e-01	-6.39480164e-01	6.67008312e-01	1.70153191e-16	-4.77777084e-18	-2.06207574e-16	-1.07881558e-16	-9.83260162e-17
4.16            	3.16538663e+00	1.58269331e+00	1.58269331e+00	-8.66862124e-02	3.41052021e-01	-4.27738234e-01	3.84395128e-01	1.68774376e-16	-2.84047077e-18	-1.87711376e-16	-9.66961585e-17	-9.10152170e-17
4.17            	3.16074329e+00	1.58037164e+00	1.58037164e+00	-2.28577847e-01	2.65636160e-01	-4.94214007e-01	3.79925084e-01	1.66089371e-16	-2.86721682e-18	-1.70489241e-16	-8.81118371e-17	-8.23774034e-17
4.18            	3.15877784e+00	1.57938892e+00	1.57938892e+00	-3.66813980e-01	3.01174233e-01	-6.67988213e-01	4.84581223e-01	1.61900269e-16	-4.74758695e-18	-1.55110222e-16	-8.23026978e-17	-7.28075239e-17
4.19            	3.17879072e+00	1.58939536e+00	1.58939536e+00	-4.97336656e-01	-2.40724646e-01	-2.56612010e-01	7.94368229e-03	1.55902393e-16	-7.44095392e-18	-1.41914937e-16	-7.83984224e-17	-6.35165145e-17
4.2             	3.18571221e+00	1.59285610e+00	1.59285610e+00	-6.15586213e-01	-1.33224586e-01	-4.82361627e-01	1.74568520e-01	1.49207162e-16	-1.21298897e-17	-1.31092092e-16	-7.76759356e-17	-5.34161563e-17
4.21            	3.21176147e+00	1.60588073e+00	1.60588073e+00	-7.87168398e-01	2.04207298e-01	-9.91375696e-01	5.97791497e-01	1.49148718e-16	-1.10887903e-17	-1.16734292e-16	-6.94559363e-17	-4.72783558e-17
4.22            	3.25011889e+00	1.62505945e+00	1.62505945e+00	-8.05204522e-01	-1.77896956e-01	-6.27307566e-01	2.24705305e-01	1.47371269e-16	-1.70738334e-17	-1.26508395e-16	-8.03280307e-17	-4.61803639e-17
4.23            	3.27375425e+00	1.63687713e+00	1.63687713e+00	-7.91166815e-01	-1.65991656e-02	-7.74567650e-01	3.78984242e-01	1.46182775e-16	-2.40620105e-17	-1.40087919e-16	-9.41059701e-17	-4.59819492e-17
4.24            	3.28750911e+00	1.64375455e+00	1.64375455e+00	-7.45786104e-01	3.76167340e-01	-1.12195344e+00	7.49060392e-01	1.45735721e-16	-3.09086222e-17	-1.56461564e-16	-1.09139404e-16	-4.73221600e-17
4.25            	3.33290221e+00	1.66645110e+00	1.66645110e+00	-6.70669042e-01	-6.01647991e-01	-6.90210502e-02	-2.66313471e-01	1.45377796e-16	-3.48431777e-17	-1.74614635e-16	-1.22150495e-16	-5.24641397e-17
4.26            	3.31754970e+00	1.65877485e+00	1.65877485e+00	-5.68440314e-01	2.60249899e-01	-8.28690213e-01	5.44470056e-01	1.47239241e-16	-3.94545686e-17	-1.93500394e-16	-1.36204765e-16	-5.72956282e-17
4.27            	3.31552084e+00	1.65776042e+00	1.65776042e+00	-4.43547197e-01	2.81307789e-01	-7.24854985e-01	5.03081387e-01	1.49731617e-16	-4.09374543e-17	-2.12086103e-16	-1.46980506e-16	-6.51055971e-17
4.28            	3.32516025e+00	1.66258013e+00	1.66258013e+00	-3.00148741e-01	-4.33430234e-01	1.33281493e-01	-2.83355863e-01	1.52806732e-16	-3.94329180e-17	-2.29786914e-16	-1.54326375e-16	-7.54605389e-17
4.29            	3.29434601e+00	1.64717301e+00	1.64717301e+00	-1.43703173e-01	7.12426079e-02	-2.14945781e-01	1.43094195e-01	1.57321640e-16	-3.78310591e-17	-2.46281397e-16	-1.60971758e-16	-8.53096396e-17
4.3             	3.28397823e+00	1.64198911e+00	1.64198911e+00	1.89975298e-02	-2.16694841e-01	2.35692370e-01	-2.26193605e-01	1.61625230e-16	-3.42047861e-17	-2.61576856e-16	-1.64993214e-16	-9.65836420e-17
